"year";"survey";"prov";"wat";"hhsize";"popwt";"hhwt";"count";"perc"
2003;"DHS 2003";"Cabo Delgado";"River/Lake";2;952016;476008;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";2;1172632;586316;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";2;1366928;683464;3;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";2;1440706;720353;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";2;2141990;1070995;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";2;2324182;1162091;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";2;2362638;1181319;5;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";2;2717332;1358666;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";2;3312326;1656163;4;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";3;1184286;394762;4;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";3;1428024;476008;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";3;2050392;683464;2;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";3;2161059;720353;2;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";3;3212985;1070995;2;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";3;3486273;1162091;4;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";3;3543957;1181319;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";3;4302258;1434086;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";3;4968489;1656163;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";4;515340;128835;2;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";4;1579048;394762;2;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";4;1865148;466287;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";4;2607640;651910;2;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";4;2733856;683464;6;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";4;4283980;1070995;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";4;4725276;1181319;4;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";4;5375000;1343750;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";4;5736344;1434086;1;100
