"Provincia_first";"D10_FONTE_AGUA_PARA_BEBER";"count";"perc"
"Sofala                                                                                                                                                                                                                                          ";".gua Canalizada fora de casa/quintal";31786;14,4592234069653
"Sofala                                                                                                                                                                                                                                          ";".gua Canalizada na casa do vizinho";22210;10,1031696932203
"Sofala                                                                                                                                                                                                                                          ";".gua da fontan.rio/ torneira p.blica";29522;13,4293460460715
"Sofala                                                                                                                                                                                                                                          ";".gua do furo/po.o protegido com bomba manual";37666;17,1339932311947
"Sofala                                                                                                                                                                                                                                          ";".gua do po.o protegido sem bomba manual";16087;7,31786091196914
"Sofala                                                                                                                                                                                                                                          ";".gua do po.o n.o protegido";50237;22,8524509625532
"Sofala                                                                                                                                                                                                                                          ";".gua de nascentes";1502;0,68324902652935
"Sofala                                                                                                                                                                                                                                          ";".gua de superf.cie (rio / lago / lagoa)";17472;7,94788747771025
"Sofala                                                                                                                                                                                                                                          ";".gua da chuva";450;0,204701772262455
"Sofala                                                                                                                                                                                                                                          ";".gua de tanques cami.es / carregada em tambores";279;0,126915098802722
"Sofala                                                                                                                                                                                                                                          ";".gua mineral / .gua engarrafada";728;0,331161978237927
"Sofala                                                                                                                                                                                                                                          ";"Outra";261;0,118727027912224
"Tete                                                                                                                                                                                                                                            ";".gua Canalizada  dentro de casa";6748;2,65647328370489
"Tete                                                                                                                                                                                                                                            ";".gua Canalizada fora de casa/quintal";20147;7,93123403183201
"Tete                                                                                                                                                                                                                                            ";".gua Canalizada na casa do vizinho";12670;4,98777660114715
"Tete                                                                                                                                                                                                                                            ";".gua da fontan.rio/ torneira p.blica";12560;4,94447309474414
"Tete                                                                                                                                                                                                                                            ";".gua do furo/po.o protegido com bomba manual";74734;29,4204022502077
"Tete                                                                                                                                                                                                                                            ";".gua do po.o protegido sem bomba manual";20607;8,11232142224462
"Tete                                                                                                                                                                                                                                            ";".gua do po.o n.o protegido";68506;26,968636451317
"Tete                                                                                                                                                                                                                                            ";".gua de nascentes";3135;1,2341499324859
"Tete                                                                                                                                                                                                                                            ";".gua de superf.cie (rio / lago / lagoa)";33907;13,348109014609
"Tete                                                                                                                                                                                                                                            ";".gua da chuva";340;0,133847201609316
"Tete                                                                                                                                                                                                                                            ";".gua de tanques cami.es / carregada em tambores";125;0,0492085300034249
"Tete                                                                                                                                                                                                                                            ";".gua mineral / .gua engarrafada";171;0,0673172690446853
"Tete                                                                                                                                                                                                                                            ";"Outra";371;0,146050917050165
"Zambezia                                                                                                                                                                                                                                        ";".gua Canalizada  dentro de casa";8583;1,72031588230578
"Zambezia                                                                                                                                                                                                                                        ";".gua Canalizada fora de casa/quintal";13972;2,80044896977471
"Zambezia                                                                                                                                                                                                                                        ";".gua Canalizada na casa do vizinho";15183;3,04317325422913
"Zambezia                                                                                                                                                                                                                                        ";".gua da fontan.rio/ torneira p.blica";24151;4,84065581656378
"Zambezia                                                                                                                                                                                                                                        ";".gua do furo/po.o protegido com bomba manual";85746;17,1863224565061
"Zambezia                                                                                                                                                                                                                                        ";".gua do po.o protegido sem bomba manual";42331;8,4845265774072
"Zambezia                                                                                                                                                                                                                                        ";".gua do po.o n.o protegido";242158;48,5364387076084
"Zambezia                                                                                                                                                                                                                                        ";".gua de nascentes";15438;3,09428365268981
"Zambezia                                                                                                                                                                                                                                        ";".gua de superf.cie (rio / lago / lagoa)";48973;9,81580213260643
"Zambezia                                                                                                                                                                                                                                        ";".gua da chuva";433;0,0867874609155777
"Zambezia                                                                                                                                                                                                                                        ";".gua de tanques cami.es / carregada em tambores";377;0,0755632165477431
"Zambezia                                                                                                                                                                                                                                        ";".gua mineral / .gua engarrafada";861;0,172572757155456
"Zambezia                                                                                                                                                                                                                                        ";"Outra";714;0,14310911568989
