Posto_key;POSTOID;key;Provincia_first;Distrito_first;Posto_first;Posto_first.y;water3;N.Surface;P.Surface
Cidade de Chibuto;90301;Gaza Chibuto Cidade de Chibuto;Gaza;Chibuto;Cidade de Chibuto;Cidade de Chibuto;Surface water;226;3,3
Cidade de Angoche;30201;Nampula Angoche Cidade De Angoche;Nampula;Angoche;Cidade De Angoche;Cidade De Angoche;Surface water;40;0,5
Cidade  de Chokwe;90601;Gaza Chokwe Cidade  de Chokwe;Gaza;Chokwe;Cidade  de Chokwe;Cidade  de Chokwe;Surface water;67;1
Chupanga;71102;Sofala Marromeu Chupanga;Sofala;Marromeu;Chupanga;Chupanga;Surface water;423;8,6
Chueza;51402;Tete Doa Chueza;Tete;Doa;Chueza;Chueza;Surface water;494;13,8
Chongoene;91301;Gaza Chongoene Chongoene;Gaza;Chongoene;Chongoene;Chongoene;Surface water;218;2,3
Choa;60202;Manica Barue Choa;Manica;Barue;Choa;Choa;Surface water;923;67,3
Chivonguene;90702;Gaza Guija Chivonguene;Gaza;Guija;Chivonguene;Chivonguene;Surface water;35;1
Chiuta;11002;Niassa Mecanhelas Chiuta;Niassa;Mecanhelas;Chiuta;Chiuta;Surface water;633;14,8
Chiure-Sede;20401;Cabo Delgado Chiure Chiure-Sede;Cabo Delgado;Chiure;Chiure-Sede;Chiure-Sede;Surface water;586;5,2
Chiure Velho;20402;Cabo Delgado Chiure Chiure Velho;Cabo Delgado;Chiure;Chiure Velho;Chiure Velho;Surface water;424;11,1
Chiurairue;60802;Manica Mossurize Chiurairue;Manica;Mossurize;Chiurairue;Chiurairue;Surface water;1027;16,8
Chiuaula;10102;Niassa Lichinga Chiuaula;Niassa;Lichinga;Chiuaula;Chiuaula;Surface water;6;0,1
Chitunda;21202;Cabo Delgado Muidumbe Chitunda;Cabo Delgado;Muidumbe;Chitunda;Chitunda;Surface water;206;7
Chitobe;60501;Manica Machaze Chitobe;Manica;Machaze;Chitobe;Chitobe;Surface water;4293;45,6
Chitima;50303;Tete Cahora-Bassa Chitima;Tete;Cahora-Bassa;Chitima;Chitima;Surface water;1209;15,9
Chissano;91202;Gaza Limpopo Chissano;Gaza;Limpopo;Chissano;Chissano;Surface water;13;0,4
