"year";"survey";"prov";"wat4";"sum_pop_weight";"perc"
2009;"IOF 2008-2009";"Maputo Provincia";"Surface water";122492,31072998;9,35084649703417
2009;"IOF 2008-2009";"Maputo Provincia";"Unimproved";160031,197166443;12,2164987379388
2009;"IOF 2008-2009";"Nampula";"Improved";3288224,55495548;79,4273418020374
2009;"IOF 2008-2009";"Nampula";"Surface water";840985,68977356;20,3140803542753
2009;"IOF 2008-2009";"Nampula";"Unimproved";10704,9033203125;0,258577843687362
2009;"IOF 2008-2009";"Niassa";"Improved";943457,205383301;74,5256008146395
2009;"IOF 2008-2009";"Niassa";"Surface water";322493,280181885;25,4743991853605
2009;"IOF 2008-2009";"Sofala";"Improved";1421050,18685913;82,9078928645333
2009;"IOF 2008-2009";"Sofala";"Surface water";255046,583007812;14,8801041476329
2009;"IOF 2008-2009";"Sofala";"Unimproved";37913,96875;2,21200298783386
2009;"IOF 2008-2009";"Tete";"Improved";1501027,97383881;77,9609025180731
2009;"IOF 2008-2009";"Tete";"Surface water";420543,50312233;21,842331803904
2009;"IOF 2008-2009";"Tete";"Unimproved";3788,44750976562;0,196765678022862
2009;"IOF 2008-2009";"Zambezia";"Improved";3480748,98054409;86,4735630318363
2009;"IOF 2008-2009";"Zambezia";"Surface water";536575,765449524;13,3303546260616
2009;"IOF 2008-2009";"Zambezia";"Unimproved";7892,74072265625;0,196082342102093
2011;"DHS 2011";"Cabo Delgado";"Improved";1440348652;29,8120000633799
2011;"DHS 2011";"Cabo Delgado";"Surface water";397576759;8,22895091965995
2011;"DHS 2011";"Cabo Delgado";"Unimproved";2993513771;61,9590490169602
2011;"DHS 2011";"Gaza";"Improved";2172517450;64,1200904036252
2011;"DHS 2011";"Gaza";"Surface water";282366855;8,33382869702028
2011;"DHS 2011";"Gaza";"Unimproved";933316548;27,5460808993545
2011;"DHS 2011";"Inhambane";"Improved";1815201400;50,2503544113764
2011;"DHS 2011";"Inhambane";"Surface water";297948921;8,24814198398988
2011;"DHS 2011";"Inhambane";"Unimproved";1499165296;41,5015036046337
2011;"DHS 2011";"Manica";"Improved";2799570313;69,9613662047028
2011;"DHS 2011";"Manica";"Surface water";211886568;5,29505321186968
2011;"DHS 2011";"Manica";"Unimproved";990137806;24,7435805834275
2011;"DHS 2011";"Maputo Cidade";"Improved";3042016227;97,6976206305951
2011;"DHS 2011";"Maputo Cidade";"Surface water";2356920;0,0756950189722516
2011;"DHS 2011";"Maputo Cidade";"Unimproved";69332394;2,22668435043261
2011;"DHS 2011";"Maputo Provincia";"Improved";3321352115;80,8962545464748
2011;"DHS 2011";"Maputo Provincia";"Surface water";136677330;3,32897076117825
2011;"DHS 2011";"Maputo Provincia";"Unimproved";647663870;15,7747746923469
2011;"DHS 2011";"Nampula";"Improved";3447188569;36,9689954769963
2011;"DHS 2011";"Nampula";"Surface water";1181231856;12,6679913986881
2011;"DHS 2011";"Nampula";"Unimproved";4696119029;50,3630131243155
2011;"DHS 2011";"Niassa";"Improved";1240843279;34,1859350428055
2011;"DHS 2011";"Niassa";"Surface water";854812100;23,5505574466702
2011;"DHS 2011";"Niassa";"Unimproved";1534034075;42,2635075105243
2011;"DHS 2011";"Sofala";"Improved";3396582604;60,7362960658161
2011;"DHS 2011";"Sofala";"Surface water";652997302;11,6766297447748
2011;"DHS 2011";"Sofala";"Unimproved";1542764086;27,5870741894091
2011;"DHS 2011";"Tete";"Improved";2936098221;39,0333450259284
2011;"DHS 2011";"Tete";"Surface water";2294396180;30,5023711671368
2011;"DHS 2011";"Tete";"Unimproved";2291531239;30,4642838069347
2011;"DHS 2011";"Zambezia";"Improved";2395652224;20,8939669494599
2011;"DHS 2011";"Zambezia";"Surface water";3086417542;26,9185591584353
2011;"DHS 2011";"Zambezia";"Unimproved";5983690804;52,1874738921048
2015;"AIS 2015";"Cabo Delgado";"Improved";1140421324;34,5587579352572
2015;"AIS 2015";"Cabo Delgado";"Surface water";288220678;8,73409540256694
2015;"AIS 2015";"Cabo Delgado";"Unimproved";1871306816;56,7071466621759
2015;"AIS 2015";"Gaza";"Improved";1985962865;72,5141025168066
2015;"AIS 2015";"Gaza";"Surface water";260984139;9,52939802865171
2015;"AIS 2015";"Gaza";"Unimproved";491779390;17,9564994545417
2015;"AIS 2015";"Inhambane";"Improved";1274056210;57,8060692982569
2015;"AIS 2015";"Inhambane";"Surface water";124739367;5,65963450939319
2015;"AIS 2015";"Inhambane";"Unimproved";805222488;36,5342961923499
