"year";"survey";"prov";"ru";"wat4";"sum_pop_weight";"perc"
2009;"IOF 2008-2009";"Inhambane";"rural";"Surface water";83633,3434753418;8,1
2009;"IOF 2008-2009";"Inhambane";"rural";"Unimproved";535566,73576355;52
2009;"IOF 2008-2009";"Inhambane";"urbano";"Improved";145830,363380432;52,5
2009;"IOF 2008-2009";"Inhambane";"urbano";"Surface water";11137,0597839355;4
2009;"IOF 2008-2009";"Inhambane";"urbano";"Unimproved";120661,678665161;43,5
2009;"IOF 2008-2009";"Manica";"rural";"Improved";331867,987556458;29,4
2009;"IOF 2008-2009";"Manica";"rural";"Surface water";380738,273515701;33,7
2009;"IOF 2008-2009";"Manica";"rural";"Unimproved";417101,931854248;36,9
2009;"IOF 2008-2009";"Manica";"urbano";"Improved";215257,185623169;57,4
2009;"IOF 2008-2009";"Manica";"urbano";"Surface water";12454,2499694824;3,3
2009;"IOF 2008-2009";"Manica";"urbano";"Unimproved";147162,334938049;39,3
2009;"IOF 2008-2009";"Maputo Cidade";"urbano";"Improved";1089468,77773285;97,1
2009;"IOF 2008-2009";"Maputo Cidade";"urbano";"Unimproved";32291,4882469177;2,9
2009;"IOF 2008-2009";"Maputo Provincia";"rural";"Improved";182657,337572098;45,8
2009;"IOF 2008-2009";"Maputo Provincia";"rural";"Surface water";105064,802429199;26,3
2009;"IOF 2008-2009";"Maputo Provincia";"rural";"Unimproved";111469,971862793;27,9
2009;"IOF 2008-2009";"Maputo Provincia";"urbano";"Improved";638357,804672241;70,1
2009;"IOF 2008-2009";"Maputo Provincia";"urbano";"Surface water";17427,5083007812;1,9
2009;"IOF 2008-2009";"Maputo Provincia";"urbano";"Unimproved";254982,168327332;28
2009;"IOF 2008-2009";"Nampula";"rural";"Improved";914342,972160339;31,3
2009;"IOF 2008-2009";"Nampula";"rural";"Surface water";686219,661613464;23,5
2009;"IOF 2008-2009";"Nampula";"rural";"Unimproved";1318766,7188797;45,2
2009;"IOF 2008-2009";"Nampula";"urbano";"Improved";716083,695672035;58,7
2009;"IOF 2008-2009";"Nampula";"urbano";"Surface water";154766,028160095;12,7
2009;"IOF 2008-2009";"Nampula";"urbano";"Unimproved";349736,071563721;28,7
2009;"IOF 2008-2009";"Niassa";"rural";"Improved";408806,920417786;41,8
